"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","1050"
">","THREAD_COUNT:","7"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","0"
">","EXTENTS_TOP:","0"
">","EXTENTS_RIGHT:","375"
">","EXTENTS_BOTTOM:","398.0"
">","EXTENTS_WIDTH:","375"
">","EXTENTS_HEIGHT:","398.0"
">","COMMAND_COLOR_CHANGE","7"
">","COMMAND_JUMP","20"
">","COMMAND_STITCH","1022"
">","COMMAND_END","1"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","170","STITCH","363","327.0"
"*","171","STITCH","295","329.0"
"*","172","STITCH","363","329.0"
"*","173","STITCH","284","331.0"
"*","174","STITCH","358","331.0"
"*","175","STITCH","284","333.0"
"*","176","STITCH","352","333.0"
"*","177","STITCH","288","335.0"
"*","178","STITCH","349","335.0"
"*","179","STITCH","292","337.0"
"*","180","STITCH","336","337.0"
"*","181","STITCH","288","339.0"
"*","182","STITCH","349","339.0"
"*","183","STITCH","285","341.0"
"*","184","STITCH","355","341.0"
"*","185","STITCH","279","343.0"
"*","186","STITCH","355","343.0"
"*","187","STITCH","288","345.0"
"*","188","STITCH","353","345.0"
"*","189","STITCH","292","347.0"
"*","190","STITCH","353","347.0"
"*","191","STITCH","295","351.0"
"*","192","STITCH","348","351.0"
"*","193","JUMP","348","351.0"
"*","194","STITCH","239","138.0"
"*","195","STITCH","284","138.0"
"*","196","STITCH","262","140.0"
"*","197","STITCH","270","140.0"
"*","198","STITCH","234","142.0"
"*","199","STITCH","289","142.0"
"*","200","STITCH","235","150.0"
"*","201","STITCH","289","150.0"
"*","202","STITCH","222","152.0"
"*","203","STITCH","288","152.0"
"*","204","STITCH","219","154.0"
"*","205","STITCH","287","154.0"
"*","206","STITCH","188","156.0"
"*","207","STITCH","286","156.0"
"*","208","STITCH","184","158.0"
"*","209","STITCH","285","158.0"
"*","210","STITCH","198","160.0"
"*","211","STITCH","283","160.0"
"*","212","STITCH","209","162.0"
"*","213","STITCH","274","162.0"
"*","214","STITCH","198","164.0"
"*","215","STITCH","283","164.0"
"*","216","STITCH","198","166.0"
"*","217","STITCH","281","166.0"
"*","218","STITCH","190","168.0"
"*","219","STITCH","267","168.0"
"*","220","STITCH","178","170.0"
"*","221","STITCH","280","170.0"
"*","222","STITCH","184","172.0"
"*","223","STITCH","206","172.0"
"*","224","STITCH","207","174.0"
"*","225","STITCH","276","174.0"
"*","226","STITCH","184","176.0"
"*","227","STITCH","276","176.0"
