"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","1050"
">","THREAD_COUNT:","7"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","0"
">","EXTENTS_TOP:","0"
">","EXTENTS_RIGHT:","375"
">","EXTENTS_BOTTOM:","398.0"
">","EXTENTS_WIDTH:","375"
">","EXTENTS_HEIGHT:","398.0"
">","COMMAND_COLOR_CHANGE","7"
">","COMMAND_JUMP","20"
">","COMMAND_STITCH","1022"
">","COMMAND_END","1"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","681","STITCH","194","237.0"
"*","682","STITCH","274","237.0"
"*","683","STITCH","195","239.0"
"*","684","STITCH","278","239.0"
"*","685","STITCH","182","241.0"
"*","686","STITCH","274","241.0"
"*","687","STITCH","173","243.0"
"*","688","STITCH","280","243.0"
"*","689","STITCH","155","245.0"
"*","690","STITCH","280","245.0"
"*","691","STITCH","150","247.0"
"*","692","STITCH","276","247.0"
"*","693","STITCH","152","249.0"
"*","694","STITCH","280","249.0"
"*","695","STITCH","154","251.0"
"*","696","STITCH","281","251.0"
"*","697","STITCH","119","253.0"
"*","698","STITCH","279","253.0"
"*","699","STITCH","119","255.0"
"*","700","STITCH","275","255.0"
"*","701","STITCH","123","257.0"
"*","702","STITCH","277","257.0"
"*","703","STITCH","122","259.0"
"*","704","STITCH","277","259.0"
"*","705","STITCH","146","261.0"
"*","706","STITCH","232","261.0"
"*","707","STITCH","138","263.0"
"*","708","STITCH","208","263.0"
"*","709","STITCH","142","265.0"
"*","710","STITCH","186","265.0"
"*","711","STITCH","133","267.0"
"*","712","STITCH","168","267.0"
"*","713","STITCH","133","269.0"
"*","714","STITCH","236","269.0"
"*","715","STITCH","151","271.0"
"*","716","STITCH","209","271.0"
"*","717","STITCH","132","273.0"
"*","718","STITCH","189","273.0"
"*","719","STITCH","130","275.0"
"*","720","STITCH","168","275.0"
"*","721","STITCH","129","277.0"
"*","722","STITCH","166","277.0"
"*","723","STITCH","128","279.0"
"*","724","STITCH","158","279.0"
"*","725","STITCH","159","281.0"
"*","726","STITCH","161","281.0"
"*","727","STITCH","154","283.0"
"*","728","STITCH","159","283.0"
"*","729","STITCH","152","285.0"
"*","730","STITCH","156","285.0"
"*","731","STITCH","136","287.0"
"*","732","STITCH","151","287.0"
"*","733","STITCH","128","289.0"
"*","734","STITCH","155","289.0"
"*","735","STITCH","129","291.0"
"*","736","STITCH","154","291.0"
"*","737","STITCH","133","293.0"
"*","738","STITCH","150","293.0"
"*","739","STITCH","129","295.0"
"*","740","STITCH","153","295.0"
"*","741","STITCH","134","297.0"
"*","742","STITCH","152","297.0"
"*","743","STITCH","134","299.0"
"*","744","STITCH","149","299.0"
"*","745","STITCH","133","301.0"
"*","746","STITCH","146","301.0"
"*","747","STITCH","129","303.0"
"*","748","STITCH","149","303.0"
"*","749","STITCH","132","305.0"
"*","750","STITCH","146","305.0"
"*","751","STITCH","129","307.0"
"*","752","STITCH","135","307.0"
"*","753","STITCH","136","309.0"
"*","754","STITCH","152","309.0"
"*","755","STITCH","139","311.0"
"*","756","STITCH","172","311.0"
"*","757","STITCH","139","313.0"
"*","758","STITCH","164","313.0"
"*","759","JUMP","164","313.0"
"*","760","STITCH","70","159.0"
"*","761","STITCH","181","159.0"
"*","762","STITCH","102","161.0"
"*","763","STITCH","196","161.0"
"*","764","STITCH","164","163.0"
"*","765","STITCH","164","163.0"
"*","766","STITCH","70","165.0"
"*","767","STITCH","196","165.0"
"*","768","STITCH","71","167.0"
"*","769","STITCH","164","167.0"
"*","770","STITCH","165","169.0"
"*","771","STITCH","176","169.0"
"*","772","STITCH","71","171.0"
"*","773","STITCH","176","171.0"
"*","774","STITCH","72","173.0"
"*","775","STITCH","182","173.0"
"*","776","STITCH","72","175.0"
"*","777","STITCH","154","175.0"
"*","778","STITCH","74","177.0"
"*","779","STITCH","182","177.0"
"*","780","STITCH","75","181.0"
"*","781","STITCH","177","181.0"
"*","782","STITCH","102","183.0"
"*","783","STITCH","174","183.0"
"*","784","STITCH","77","185.0"
"*","785","STITCH","171","185.0"
"*","786","STITCH","79","187.0"
"*","787","STITCH","171","187.0"
"*","788","STITCH","79","189.0"
"*","789","STITCH","147","189.0"
"*","790","STITCH","82","191.0"
"*","791","STITCH","102","191.0"
"*","792","STITCH","82","193.0"
"*","793","STITCH","165","193.0"
"*","794","STITCH","85","195.0"
"*","795","STITCH","162","195.0"
"*","796","STITCH","143","197.0"
"*","797","STITCH","146","197.0"
"*","798","STITCH","85","199.0"
"*","799","STITCH","141","199.0"
"*","800","STITCH","87","201.0"
"*","801","STITCH","137","201.0"
"*","802","STITCH","89","203.0"
"*","803","STITCH","137","203.0"
"*","804","STITCH","89","205.0"
"*","805","STITCH","124","205.0"
"*","806","STITCH","91","207.0"
"*","807","STITCH","137","207.0"
"*","808","JUMP","137","207.0"
"*","809","STITCH","227","113.0"
"*","810","STITCH","262","113.0"
"*","811","STITCH","228","115.0"
"*","812","STITCH","274","115.0"
"*","813","STITCH","229","117.0"
"*","814","STITCH","281","117.0"
"*","815","STITCH","230","119.0"
"*","816","STITCH","285","119.0"
"*","817","STITCH","284","123.0"
"*","818","STITCH","286","123.0"
"*","819","STITCH","228","125.0"
"*","820","STITCH","283","125.0"
"*","821","STITCH","228","127.0"
"*","822","STITCH","293","127.0"
"*","823","STITCH","235","129.0"
"*","824","STITCH","286","129.0"
"*","825","STITCH","232","131.0"
"*","826","STITCH","293","131.0"
"*","827","STITCH","237","133.0"
"*","828","STITCH","295","133.0"
"*","829","STITCH","233","135.0"
"*","830","STITCH","292","135.0"
"*","831","STITCH","293","137.0"
"*","832","STITCH","295","137.0"
"*","833","STITCH","293","139.0"
"*","834","STITCH","297","139.0"
"*","835","STITCH","295","141.0"
"*","836","STITCH","296","141.0"
"*","837","STITCH","294","143.0"
"*","838","STITCH","296","143.0"
"*","839","STITCH","294","145.0"
"*","840","STITCH","294","145.0"
"*","841","STITCH","292","147.0"
"*","842","STITCH","294","147.0"
"*","843","STITCH","293","149.0"
"*","844","STITCH","293","149.0"
"*","845","STITCH","291","151.0"
"*","846","STITCH","292","151.0"
"*","847","STITCH","291","153.0"
"*","848","STITCH","293","153.0"
"*","849","STITCH","287","155.0"
"*","850","STITCH","291","155.0"
"*","851","STITCH","286","157.0"
"*","852","STITCH","290","157.0"
"*","853","STITCH","286","159.0"
"*","854","STITCH","289","159.0"
"*","855","STITCH","284","161.0"
"*","856","STITCH","288","161.0"
"*","857","STITCH","284","163.0"
"*","858","STITCH","286","163.0"
"*","859","JUMP","286","163.0"
"*","860","STITCH","76","112.0"
"*","861","STITCH","90","112.0"
"*","862","STITCH","90","114.0"
"*","863","STITCH","128","114.0"
"*","864","STITCH","76","116.0"
"*","865","STITCH","114","116.0"
"*","866","STITCH","73","118.0"
"*","867","STITCH","104","118.0"
"*","868","STITCH","71","120.0"
"*","869","STITCH","120","120.0"
"*","870","STITCH","82","122.0"
"*","871","STITCH","112","122.0"
"*","872","STITCH","71","124.0"
"*","873","STITCH","101","124.0"
"*","874","STITCH","76","126.0"
"*","875","STITCH","91","126.0"
"*","876","STITCH","73","128.0"
"*","877","STITCH","75","128.0"
"*","878","STITCH","70","130.0"
"*","879","STITCH","85","130.0"
"*","880","STITCH","76","132.0"
"*","881","STITCH","92","132.0"
"*","882","STITCH","70","134.0"
"*","883","STITCH","92","134.0"
"*","884","JUMP","92","134.0"
"*","885","STITCH","190","65.0"
"*","886","STITCH","239","65.0"
"*","887","STITCH","192","67.0"
"*","888","STITCH","239","67.0"
"*","889","STITCH","196","69.0"
"*","890","STITCH","242","69.0"
"*","891","STITCH","198","71.0"
"*","892","STITCH","230","71.0"
"*","893","STITCH","200","73.0"
"*","894","STITCH","245","73.0"
"*","895","STITCH","203","75.0"
"*","896","STITCH","239","75.0"
"*","897","STITCH","196","77.0"
"*","898","STITCH","248","77.0"
"*","899","STITCH","191","79.0"
"*","900","STITCH","248","79.0"
"*","901","STITCH","184","81.0"
"*","902","STITCH","232","81.0"
"*","903","STITCH","177","83.0"
"*","904","STITCH","251","83.0"
"*","905","STITCH","172","85.0"
"*","906","STITCH","251","85.0"
"*","907","STITCH","214","87.0"
"*","908","STITCH","231","87.0"
"*","909","STITCH","227","89.0"
"*","910","STITCH","255","89.0"
"*","911","STITCH","218","91.0"
"*","912","STITCH","246","91.0"
"*","913","STITCH","218","93.0"
"*","914","STITCH","238","93.0"
"*","915","STITCH","227","95.0"
"*","916","STITCH","255","95.0"
"*","917","STITCH","221","97.0"
"*","918","STITCH","258","97.0"
"*","919","STITCH","222","99.0"
"*","920","STITCH","258","99.0"
"*","921","STITCH","222","101.0"
"*","922","STITCH","260","101.0"
"*","923","STITCH","223","103.0"
"*","924","STITCH","251","103.0"
"*","925","STITCH","233","105.0"
"*","926","STITCH","260","105.0"
"*","927","STITCH","225","107.0"
"*","928","STITCH","251","107.0"
"*","929","JUMP","251","107.0"
"*","930","STITCH","116","24.0"
"*","931","STITCH","116","24.0"
"*","932","STITCH","114","26.0"
"*","933","STITCH","117","26.0"
"*","934","STITCH","112","28.0"
"*","935","STITCH","117","28.0"
"*","936","STITCH","109","30.0"
"*","937","STITCH","116","30.0"
"*","938","STITCH","108","32.0"
"*","939","STITCH","116","32.0"
"*","940","STITCH","108","36.0"
"*","941","STITCH","117","36.0"
"*","942","STITCH","108","38.0"
"*","943","STITCH","186","38.0"
"*","944","STITCH","87","40.0"
"*","945","STITCH","200","40.0"
"*","946","STITCH","82","42.0"
"*","947","STITCH","206","42.0"
"*","948","STITCH","77","44.0"
"*","949","STITCH","211","44.0"
"*","950","STITCH","73","46.0"
"*","951","STITCH","217","46.0"
"*","952","STITCH","73","48.0"
"*","953","STITCH","217","48.0"
"*","954","STITCH","73","50.0"
"*","955","STITCH","225","50.0"
"*","956","STITCH","67","52.0"
"*","957","STITCH","227","52.0"
"*","958","STITCH","66","54.0"
"*","959","STITCH","230","54.0"
"*","960","STITCH","65","56.0"
"*","961","STITCH","65","56.0"
"*","962","STITCH","64","58.0"
"*","963","STITCH","230","58.0"
"*","964","STITCH","63","60.0"
"*","965","STITCH","187","60.0"
"*","966","STITCH","62","62.0"
"*","967","STITCH","184","62.0"
"*","968","STITCH","62","64.0"
"*","969","STITCH","155","64.0"
"*","970","STITCH","61","66.0"
"*","971","STITCH","130","66.0"
"*","972","STITCH","94","68.0"
"*","973","STITCH","153","68.0"
"*","974","STITCH","73","70.0"
"*","975","STITCH","141","70.0"
"*","976","STITCH","61","72.0"
"*","977","STITCH","152","72.0"
"*","978","STITCH","63","74.0"
"*","979","STITCH","153","74.0"
"*","980","STITCH","121","76.0"
"*","981","STITCH","185","76.0"
"*","982","STITCH","103","78.0"
"*","983","STITCH","179","78.0"
"*","984","STITCH","88","80.0"
"*","985","STITCH","173","80.0"
"*","986","STITCH","83","82.0"
"*","987","STITCH","166","82.0"
"*","988","STITCH","104","84.0"
"*","989","STITCH","159","84.0"
"*","990","STITCH","84","86.0"
"*","991","STITCH","141","86.0"
"*","992","STITCH","76","88.0"
"*","993","STITCH","154","88.0"
"*","994","STITCH","86","90.0"
"*","995","STITCH","144","90.0"
"*","996","STITCH","75","92.0"
"*","997","STITCH","155","92.0"
"*","998","STITCH","96","94.0"
"*","999","STITCH","156","94.0"
"*","1000","STITCH","75","96.0"
"*","1001","STITCH","157","96.0"
"*","1002","STITCH","74","98.0"
"*","1003","STITCH","136","98.0"
"*","1004","STITCH","74","100.0"
"*","1005","STITCH","157","100.0"
"*","1006","STITCH","75","102.0"
"*","1007","STITCH","158","102.0"
"*","1008","STITCH","92","104.0"
"*","1009","STITCH","160","104.0"
"*","1010","STITCH","75","106.0"
"*","1011","STITCH","160","106.0"
"*","1012","STITCH","139","108.0"
"*","1013","STITCH","161","108.0"
"*","1014","STITCH","133","110.0"
"*","1015","STITCH","161","110.0"
"*","1016","STITCH","147","112.0"
"*","1017","STITCH","163","112.0"
"*","1018","STITCH","142","114.0"
"*","1019","STITCH","163","114.0"
"*","1020","STITCH","138","116.0"
"*","1021","STITCH","164","116.0"
"*","1022","STITCH","148","118.0"
"*","1023","STITCH","166","118.0"
"*","1024","STITCH","141","120.0"
"*","1025","STITCH","160","120.0"
"*","1026","STITCH","161","122.0"
"*","1027","STITCH","167","122.0"
"*","1028","STITCH","137","124.0"
"*","1029","STITCH","167","124.0"
"*","1030","STITCH","137","126.0"
"*","1031","STITCH","172","126.0"
"*","1032","STITCH","149","128.0"
"*","1033","STITCH","186","128.0"
"*","1034","STITCH","152","132.0"
"*","1035","STITCH","202","132.0"
"*","1036","STITCH","174","134.0"
"*","1037","STITCH","204","134.0"
"*","1038","STITCH","154","136.0"
"*","1039","STITCH","204","136.0"
"*","1040","STITCH","154","138.0"
"*","1041","STITCH","204","138.0"
"*","1042","COLOR_CHANGE","204","138.0"
"*","1043","JUMP","204","138.0"
"*","1044","STITCH","146","202.0"
"*","1045","STITCH","166","202.0"
"*","1046","STITCH","141","204.0"
"*","1047","STITCH","166","204.0"
"*","1048","COLOR_CHANGE","166","204.0"
"*","1049","END","166","204.0"
